City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Mataura,NZ,44.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
19,Pangnirtung,CA,34.72,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
20,Constitucion,CL,48.45,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
30,New Norfolk,AU,47.91,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
34,Tuktoyaktuk,CA,38.14,clear sky,69.4541,-133.0374,End of The Road Ltd.
38,Kaitangata,NZ,43.16,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
39,Bluff,NZ,44.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
47,Comodoro Rivadavia,AR,42.66,clear sky,-45.8667,-67.5,Austral Hotel
50,Punta Arenas,CL,44.71,light rain,-53.15,-70.9167,Hotel Hain
53,Upernavik,GL,31.96,overcast clouds,72.7868,-56.1549,Café de Upernavik
54,Ushuaia,AR,42.46,scattered clouds,-54.8,-68.3,Albatross Hotel
58,Hobart,AU,48.25,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
59,Severo-Kurilsk,RU,47.03,overcast clouds,50.6789,156.125,Kak Doma
61,Lebu,CL,46.85,clear sky,-37.6167,-73.65,Hostal Las Lilas
65,Merritt,CA,49.21,overcast clouds,50.1123,-120.7942,Ramada Limited Merritt
70,Qaanaaq,GL,26.1,broken clouds,77.484,-69.3632,Qaanaaq Hotel
72,Castro,BR,49.57,clear sky,-24.7911,-50.0119,CHACARA BAILLY
82,Calvinia,ZA,46.8,overcast clouds,-31.4707,19.776,Die Lemoenhuis
92,Willowmore,ZA,45.88,scattered clouds,-33.2926,23.4895,Jumper's Place
100,Tasiilaq,GL,36.68,light rain,65.6145,-37.6368,The Red House
105,Clyde River,CA,30.43,light snow,70.4692,-68.5914,Qamaq Hotel
116,Bay Roberts,CA,44.04,clear sky,47.5999,-53.2648,Stonewall Inn
117,Macusani,PE,27.75,clear sky,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
122,Hay River,CA,48.18,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
125,Kodiak,US,45.91,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
132,Vardo,NO,42.78,broken clouds,70.3705,31.1107,Vardø Hotel AS
140,Viedma,AR,42.76,clear sky,-40.8135,-62.9967,Hotel Cristal
152,Norman Wells,CA,48.24,few clouds,65.282,-126.8329,Heritage Hotel
153,Santa Isabel,BR,47.5,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
154,Polson,US,49.77,overcast clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
156,Rawson,AR,43.18,clear sky,-43.3002,-65.1023,Hosteria Sampedro
161,Hanmer Springs,NZ,47.32,overcast clouds,-42.5167,172.8167,The Chalets Motel
166,Mount Gambier,AU,49.24,broken clouds,-37.8333,140.7667,The Commodore
181,Paamiut,GL,37.33,few clouds,61.994,-49.6678,Pistut
191,San Juan,AR,43.63,clear sky,-31.5375,-68.5364,Hotel Provincial
199,Longyearbyen,SJ,40.84,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
226,Mar Del Plata,AR,49.08,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
233,Berlevag,NO,40.95,broken clouds,70.8578,29.0864,Kvitbrakka
240,Te Anau,NZ,42.28,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
241,Leningradskiy,RU,35.82,overcast clouds,69.3833,178.4167,Gostinitsa
256,Havoysund,NO,39.43,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
281,Tiksi,RU,35.2,scattered clouds,71.6872,128.8694,Arktika
305,Barrow,US,37.96,light rain,71.2906,-156.7887,King Eider Inn
313,Magadan,RU,47.53,overcast clouds,59.5667,150.8,Magadan hotel
316,Nanortalik,GL,37.83,clear sky,60.1432,-45.2371,Hotel Kap Farvel
